Close,vol_change_1,vol_change_3,candle_size,hour_0  -- 0.912850718869242
Close,vol_change_1,vol_change_3,candle_size,impulse  -- 0.9128416055097568
Close,roi_10,candle_body_size,vol_change_3  -- 0.9128290268248267
Close,roi_20,candle_body_size,candle_size  -- 0.9124989278858197
Close,roi_5,vol_change_1,vol_change_2,impulse,hour_0  -- 0.9124235488876482
Close,roi_5,candle_body_size,vol_change_1,candle_size,impulse,hour_0  -- 0.9123254262586479
Close,roi_20,candle_body_size,vol_change_1,impulse  -- 0.9121388614070158
Close,roi_20,candle_body_size,vol_change_1,hour_0  -- 0.9120700010771766
Close,roi_20,vol_change_2,impulse  -- 0.9118212991091501
Close,roi_10,vol_change_1,candle_size,impulse,hour_0  -- 0.9118083397633808
Close,roi_5,vol_change_2,candle_size,impulse,hour_0  -- 0.9117960932840838
Close,roi_10,candle_body_size,vol_change_3,impulse  -- 0.9117486181216604
Close,roi_20,vol_change_2,hour_0  -- 0.9117483891226751
Close,roi_10,candle_body_size,vol_change_3,hour_0  -- 0.9116016081123919
Close,vol_change_1,vol_change_3,candle_size,impulse,hour_0  -- 0.9115827395929669
Close,roi_20,candle_body_size,candle_size,hour_0  -- 0.9112767763997077
Close,roi_20,candle_body_size,candle_size,impulse  -- 0.9111683998833191
Close,roi_20,candle_body_size,vol_change_1,impulse,hour_0  -- 0.910980066269704
Close,roi_20,vol_change_2,impulse,hour_0  -- 0.9106504651570735
Close,roi_5,vol_change_1,vol_change_3  -- 0.9106241999912223
Close,roi_10,candle_body_size,vol_change_3,impulse,hour_0  -- 0.91052489269109
Close,roi_20,candle_body_size,candle_size,impulse,hour_0  -- 0.9099863084571722
Close,roi_5,vol_change_3,candle_size  -- 0.9099057808992299
Close,roi_5,roi_10,vol_change_1  -- 0.9097576784685419
Close,roi_5,vol_change_1,vol_change_3,impulse  -- 0.9095602131620236
Close,roi_5,vol_change_1,vol_change_3,hour_0  -- 0.9094014862924624
Close,candle_body_size,vol_change_1,vol_change_2,candle_size  -- 0.9093622009911235
Close,roi_5,roi_10,candle_size  -- 0.9090272292452749
Close,roi_5,roi_10,vol_change_1,impulse  -- 0.9086977745177255
Close,roi_5,vol_change_3,candle_size,hour_0  -- 0.9086215365510022
Close,roi_5,roi_10,vol_change_1,hour_0  -- 0.9086157842322609
Close,roi_5,vol_change_3,candle_size,impulse  -- 0.9086014790431506
Close,roi_20,vol_change_3  -- 0.908567049970558
Close,roi_5,vol_change_1,vol_change_3,impulse,hour_0  -- 0.9083411503851619
Close,candle_body_size,vol_change_1,vol_change_2,candle_size,hour_0  -- 0.9081447598511735
Close,candle_body_size,vol_change_1,vol_change_2,candle_size,impulse  -- 0.9080755457555526
Close,roi_5,roi_10,candle_size,hour_0  -- 0.9078248411192585
Close,roi_5,roi_20,candle_body_size  -- 0.907735016813068
Close,roi_5,roi_10,candle_size,impulse  -- 0.9077290579125982
Close,roi_5,roi_10,vol_change_1,impulse,hour_0  -- 0.9075585386151135
Close,roi_20,vol_change_3,impulse  -- 0.9074680833382955
Close,roi_5,vol_change_3,candle_size,impulse,hour_0  -- 0.9073584533540349
Close,roi_20,vol_change_3,hour_0  -- 0.9073389728342859
Close,candle_body_size,vol_change_1,vol_change_2,candle_size,impulse,hour_0  -- 0.9068977345368163
Close,roi_5,roi_20,candle_body_size,impulse  -- 0.9066741083021865
Close,roi_10,roi_20  -- 0.9066714756125203
Close,roi_5,roi_20,candle_body_size,hour_0  -- 0.9065956287029767
Close,roi_5,roi_10,candle_size,impulse,hour_0  -- 0.906566458148069
Close,roi_20,vol_change_3,impulse,hour_0  -- 0.9062441817673478
Close,roi_5,candle_body_size,vol_change_1,vol_change_2  -- 0.9056610829250771
Close,roi_10,roi_20,impulse  -- 0.9056061704159841
Close,roi_5,roi_20,candle_body_size,impulse,hour_0  -- 0.905537453145671
Close,roi_10,roi_20,hour_0  -- 0.9055365591477308
Close,candle_body_size,vol_change_1,vol_change_3,candle_size  -- 0.9053936462014714
Close,roi_5,candle_body_size,vol_change_2,candle_size  -- 0.9053210225237487
Close,roi_10,candle_body_size,vol_change_1,candle_size  -- 0.9052546632889801
Close,roi_10,vol_change_1,vol_change_2  -- 0.9051853919805593
Close,roi_10,vol_change_2,candle_size  -- 0.9048416170212366
Close,roi_5,candle_body_size,vol_change_1,vol_change_2,impulse  -- 0.9046203143780331
Close,roi_5,candle_body_size,vol_change_1,vol_change_2,hour_0  -- 0.9045194477083619
Close,roi_10,roi_20,impulse,hour_0  -- 0.9044739754038847
Close,vol_change_1,vol_change_2,vol_change_3  -- 0.9043183913567336
Close,roi_10,vol_change_1,vol_change_2,impulse  -- 0.9041207136295983
Close,candle_body_size,vol_change_1,vol_change_3,candle_size,hour_0  -- 0.9041153070136313
Close,roi_5,candle_body_size,vol_change_2,candle_size,hour_0  -- 0.9041121578628486
Close,candle_body_size,vol_change_1,vol_change_3,candle_size,impulse  -- 0.9041079284072466
Close,roi_10,candle_body_size,vol_change_1,candle_size,hour_0  -- 0.9040583157670271
Close,roi_10,vol_change_1,vol_change_2,hour_0  -- 0.9040461279275603
Close,roi_5,candle_body_size,vol_change_2,candle_size,impulse  -- 0.9040404388452978
Close,roi_10,candle_body_size,vol_change_1,candle_size,impulse  -- 0.9039589193595473
Close,vol_change_2,vol_change_3,candle_size  -- 0.9038864062024552
Close,roi_20,candle_body_size,vol_change_2  -- 0.9037920629526754
Close,roi_10,vol_change_2,candle_size,hour_0  -- 0.9036341772116786
Close,roi_10,vol_change_2,candle_size,impulse  -- 0.9035344101214967
Close,roi_5,candle_body_size,vol_change_1,vol_change_2,impulse,hour_0  -- 0.9034813062561142
Close,vol_change_1,vol_change_2,vol_change_3,impulse  -- 0.9032810606691382
Close,vol_change_1,vol_change_2,vol_change_3,hour_0  -- 0.9031399786318349
Close,roi_10,vol_change_1,vol_change_2,impulse,hour_0  -- 0.9029841587818308
Close,roi_5,candle_body_size,vol_change_2,candle_size,impulse,hour_0  -- 0.9028712451549843
Close,candle_body_size,vol_change_1,vol_change_3,candle_size,impulse,hour_0  -- 0.9028699834694938
Close,roi_10,candle_body_size,vol_change_1,candle_size,impulse,hour_0  -- 0.9028015738599274
Close,roi_20,candle_body_size,vol_change_2,impulse  -- 0.9027235481257084
Close,roi_20,candle_body_size,vol_change_2,hour_0  -- 0.9026425686884373
Close,vol_change_2,vol_change_3,candle_size,hour_0  -- 0.9026420770045889
Close,vol_change_2,vol_change_3,candle_size,impulse  -- 0.9026047163042243
Close,roi_10,vol_change_2,candle_size,impulse,hour_0  -- 0.9023674037539235
Close,vol_change_1,vol_change_2,vol_change_3,impulse,hour_0  -- 0.9021056660631395
Close,roi_5,candle_body_size,vol_change_1,vol_change_3  -- 0.9017240473614831
Close,roi_20,candle_body_size,vol_change_2,impulse,hour_0  -- 0.9015770578701272
Close,vol_change_2,vol_change_3,candle_size,impulse,hour_0  -- 0.9014015524149904
Close,roi_10,vol_change_1,vol_change_3  -- 0.9012535375842758
Close,roi_20,vol_change_1,candle_size  -- 0.901074269853002
Close,roi_5,candle_body_size,vol_change_3,candle_size  -- 0.9010243159227482
Close,roi_5,roi_10,candle_body_size,vol_change_1  -- 0.9008565966100743
Close,roi_5,candle_body_size,vol_change_1,vol_change_3,impulse  -- 0.9006833818178377
Close,roi_10,vol_change_3,candle_size  -- 0.9005450763867833
Close,roi_5,candle_body_size,vol_change_1,vol_change_3,hour_0  -- 0.900522828644413
Close,roi_5,vol_change_2,vol_change_3  -- 0.9004227699856997
Close,roi_5,roi_10,vol_change_2  -- 0.9003485740849713
Close,roi_10,vol_change_1,vol_change_3,impulse  -- 0.9001892005231287
Close,roi_5,roi_10,candle_body_size,candle_size  -- 0.9001447578187576
Close,roi_10,vol_change_1,vol_change_3,hour_0  -- 0.9000547911249535
Close,roi_20,vol_change_1,candle_size,hour_0  -- 0.8998772875593516
Close,roi_5,roi_10,candle_body_size,vol_change_1,impulse  -- 0.8998199546902544
Close,roi_5,candle_body_size,vol_change_3,candle_size,hour_0  -- 0.8997625017050066
Close,roi_20,vol_change_1,candle_size,impulse  -- 0.8997576425812636
Close,roi_5,candle_body_size,vol_change_3,candle_size,impulse  -- 0.8997466346035119
Close,roi_5,roi_10,candle_body_size,vol_change_1,hour_0  -- 0.8997358527672958
Close,roi_20,candle_body_size,vol_change_3  -- 0.8995286130128805
